Order,LotArea,Alley,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemod,Foundation,BsmtFin,BsmtUnf,AC,GrLivArea,HalfBath,FullBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,WoodDeckSF,PorchSF,YrSold,SalePrice
632,8400,no,Inside,6,3,1957,1957,CBlock,850,628,Y,1478,1,2,3,TA,6,2,RFn,2,442,114,216,2009,156500
633,12285,no,Inside,7,6,1960,1960,CBlock,544,785,Y,1329,1,1,3,TA,5,2,Unf,2,441,0,203,2009,176000
634,9240,no,Inside,6,8,1959,1998,CBlock,708,280,Y,988,0,3,3,Gd,6,0,Unf,1,297,156,0,2009,149500
635,9600,no,Inside,6,6,1958,1988,CBlock,1240,0,Y,1632,0,3,3,TA,6,1,RFn,1,338,289,0,2009,139000
636,12400,no,Inside,6,7,1958,1998,CBlock,585,630,Y,1215,0,1,3,TA,6,0,Unf,1,297,0,234,2009,155000
637,8750,no,Inside,5,5,1956,1956,CBlock,637,565,Y,1202,1,1,3,TA,6,0,RFn,1,304,0,155,2009,120000
638,8750,no,Inside,5,5,1955,1955,CBlock,655,727,Y,1382,1,1,3,Gd,6,0,Unf,1,350,280,0,2009,153000
639,10400,no,Corner,4,5,1956,1956,CBlock,905,295,Y,1200,0,2,3,TA,6,2,Unf,1,294,0,329,2009,144000
640,19296,no,Corner,6,5,1962,1962,CBlock,1362,0,Y,1382,0,2,3,TA,6,1,Unf,2,884,0,252,2009,176000
641,8532,no,Inside,5,6,1954,1990,CBlock,1213,84,Y,1297,1,1,3,TA,5,1,Fin,2,498,0,0,2009,153000
643,8128,no,CulDSac,6,7,1954,1954,CBlock,490,572,Y,1062,0,2,3,TA,6,0,Unf,1,297,0,0,2009,131000
644,10634,no,Inside,5,6,1953,1953,PConc,608,0,Y,1319,0,2,3,TA,5,0,Unf,1,270,66,0,2009,123000
645,13070,no,Corner,5,5,1951,1951,CBlock,308,323,Y,1112,0,1,2,TA,5,0,Unf,2,480,0,255,2009,126000
646,10434,no,Inside,4,5,1955,1955,CBlock,0,1005,Y,1005,0,1,2,Fa,5,1,Unf,2,672,0,0,2009,115000
647,14559,no,Inside,5,7,1951,2000,CBlock,830,178,Y,1363,0,2,2,TA,6,2,Unf,1,288,324,210,2009,164900
648,8480,no,Corner,5,6,1945,1950,CBlock,700,93,Y,793,0,2,2,Fa,4,0,Unf,1,240,0,0,2009,113000
649,7626,no,Inside,5,8,1952,2005,CBlock,931,100,Y,1031,0,2,2,Gd,5,0,Unf,1,230,0,0,2009,145500
650,9533,no,Inside,5,5,1953,1953,Slab,0,0,Y,1210,1,1,2,TA,7,0,Fin,1,616,208,100,2009,102900
652,11419,no,Corner,7,7,1948,1999,CBlock,699,0,Y,1527,1,2,3,TA,6,1,Unf,2,410,0,134,2009,152500
653,9600,no,Inside,5,6,1950,1950,CBlock,390,810,Y,1200,0,1,3,TA,6,0,Fin,1,246,126,0,2009,129900
654,8000,no,Inside,6,6,1948,2002,CBlock,680,292,Y,972,0,2,2,TA,5,1,Unf,1,240,0,0,2009,132000
655,5470,no,Inside,3,5,1958,1958,CBlock,0,792,Y,792,0,1,2,TA,4,0,Unf,1,366,0,90,2009,99900
656,10410,no,Inside,5,7,1916,1987,CBlock,0,660,Y,1656,1,2,3,TA,8,0,Unf,1,180,0,140,2009,135000
657,10800,no,Inside,5,7,1939,2006,BrkTil,0,676,Y,1352,1,2,4,Gd,7,0,Unf,2,720,187,128,2009,149000
658,8146,no,Corner,4,8,1900,2003,BrkTil,0,405,Y,1039,0,1,2,TA,6,0,Unf,1,281,0,279,2009,114000
659,9022,no,Inside,5,8,1924,2006,BrkTil,0,768,Y,792,0,1,2,Gd,5,0,Unf,1,240,316,120,2009,109500
660,10230,yes,Inside,5,7,1925,1950,BrkTil,0,1054,Y,1078,0,1,3,Ex,6,0,Unf,1,264,0,112,2009,125000
661,10410,yes,Inside,4,5,1915,1950,BrkTil,0,1313,Y,2377,0,2,3,Gd,8,1,Unf,2,528,0,432,2009,142900
662,7200,no,Corner,7,9,1910,2008,PConc,0,560,Y,1690,0,2,4,Gd,5,0,Unf,2,624,0,112,2009,156500
663,5400,no,Inside,2,5,1940,1950,PConc,0,416,N,599,0,2,2,Gd,4,0,NA,0,0,0,81,2009,59000
664,5400,no,Corner,4,6,1920,1950,PConc,420,420,Y,1374,0,1,2,TA,6,0,Fin,1,338,0,198,2009,105000
665,10800,yes,Inside,5,7,1920,1950,BrkTil,0,720,N,846,0,1,2,Gd,4,0,Fin,2,576,0,0,2009,106000
666,10800,yes,Corner,3,5,1890,1998,BrkTil,0,630,Y,725,1,1,1,TA,4,0,Unf,1,320,0,30,2009,78500
668,10143,no,Inside,6,7,1963,1963,CBlock,384,996,Y,1380,1,1,3,TA,6,0,Unf,1,364,0,216,2009,154000
669,11500,no,Inside,6,4,1967,1967,CBlock,932,108,Y,1040,0,2,3,TA,6,1,RFn,2,480,0,156,2009,163000
671,8010,no,Inside,6,9,1958,2007,CBlock,745,206,Y,951,0,2,2,Gd,6,0,Unf,2,480,0,42,2009,143500
672,10454,no,Corner,6,6,1957,1957,CBlock,546,559,Y,1105,0,1,3,TA,5,0,Unf,1,308,0,0,2009,135000
673,8712,no,Inside,5,7,1957,2000,CBlock,860,132,Y,1306,0,2,2,TA,5,0,Unf,1,756,0,0,2009,153000
674,17600,no,Inside,6,5,1960,1960,CBlock,1270,208,Y,1478,0,3,3,TA,6,2,Unf,2,498,0,40,2009,157500
675,9000,no,Inside,6,6,1958,1958,CBlock,0,160,Y,1142,0,1,2,TA,5,1,RFn,1,384,0,92,2009,113500
676,12144,no,Inside,5,7,1949,1950,CBlock,375,457,Y,1268,0,1,3,TA,6,1,Unf,1,288,0,28,2009,133000
678,8064,no,Inside,6,5,1950,1950,CBlock,621,174,N,1133,0,1,3,TA,5,0,Unf,2,900,0,231,2009,128500
680,7200,no,Inside,5,4,1950,1982,CBlock,532,676,Y,1904,1,2,3,TA,7,0,Unf,1,240,0,168,2009,138000
681,7350,no,Inside,5,6,1958,1958,CBlock,0,1041,Y,1041,0,1,3,TA,6,0,RFn,1,294,0,0,2009,128000
682,7560,no,Inside,5,6,1958,1965,CBlock,504,525,Y,1339,0,1,3,TA,6,0,Unf,1,294,0,0,2009,139000
683,7200,no,Corner,5,7,1952,1952,CBlock,732,0,Y,732,0,2,2,TA,4,0,Unf,1,240,0,68,2009,118900
684,8000,no,Inside,5,5,1959,1959,CBlock,528,0,Y,1183,0,2,3,TA,6,0,RFn,1,288,0,0,2009,138000
685,7931,no,Inside,5,5,1959,1959,CBlock,1148,0,Y,1148,0,2,3,TA,6,0,Unf,1,672,0,0,2009,132500
686,10800,no,Inside,4,7,1949,1996,CBlock,0,832,Y,1461,0,2,4,TA,6,0,Unf,1,384,0,204,2009,133500
687,8064,no,Corner,6,7,1948,1994,CBlock,120,744,Y,1495,0,1,3,TA,6,0,Unf,2,576,180,36,2009,135000
688,7570,no,Corner,6,5,1964,1964,CBlock,0,780,Y,1806,1,1,4,TA,8,0,Unf,2,483,0,55,2009,144750
690,7936,no,Inside,6,6,1963,1963,CBlock,826,219,Y,1045,0,2,3,TA,6,1,RFn,1,264,0,0,2009,127000
691,6600,no,Inside,5,5,1962,1962,CBlock,0,894,N,894,0,1,2,TA,5,0,Unf,1,308,0,0,2009,109500
692,3950,yes,Inside,6,8,1926,2004,CBlock,468,350,Y,1224,0,1,3,TA,5,0,Unf,1,210,0,116,2009,115000
693,10440,yes,Corner,5,6,1910,1981,PConc,0,440,Y,1230,1,1,2,TA,5,0,Unf,2,440,74,128,2009,110000
694,4080,yes,Inside,6,8,1935,1998,PConc,0,901,Y,1378,0,1,3,Gd,6,0,Unf,1,162,54,40,2009,128900
696,5720,no,Inside,5,6,1941,1950,CBlock,0,676,Y,1131,1,1,3,TA,5,0,Unf,1,200,26,0,2009,66500
697,15660,no,Inside,5,8,1910,2003,CBlock,0,240,Y,1306,1,1,3,Gd,6,0,Unf,2,472,0,0,2009,130000
698,9900,no,Corner,5,8,1910,2002,CBlock,0,504,Y,1464,0,2,3,TA,7,0,NA,0,0,0,176,2009,129000
699,6406,yes,Inside,5,6,1939,1950,BrkTil,421,269,Y,1558,1,1,3,TA,7,1,Unf,2,400,0,218,2009,150000
700,6600,no,Corner,5,4,1892,1965,Stone,0,994,N,2372,0,2,4,TA,11,0,RFn,1,432,0,287,2009,107500
703,3378,yes,Inside,7,8,1946,1992,CBlock,0,651,Y,1389,1,1,3,TA,6,2,Unf,1,240,0,126,2009,135000
704,10134,yes,Inside,5,5,1910,1950,BrkTil,0,801,N,1447,0,1,3,TA,6,0,NA,0,0,80,244,2009,103000
706,6000,no,Inside,5,7,1950,1970,CBlock,384,384,Y,1328,1,1,3,TA,6,0,Unf,1,308,0,12,2009,129500
708,7404,no,Corner,4,6,1920,1950,BrkTil,0,861,Y,861,0,1,2,TA,5,0,Unf,2,288,0,128,2009,80000
709,5925,no,Corner,2,4,1940,1950,BrkTil,0,0,N,612,0,1,1,TA,4,0,Unf,1,308,0,25,2009,45000
710,5925,no,Inside,3,6,1910,1950,BrkTil,0,600,N,968,0,1,2,TA,6,0,NA,0,0,0,0,2009,37900
711,5784,no,Inside,5,8,1938,1996,BrkTil,0,190,Y,886,0,1,2,TA,4,0,Unf,1,273,144,100,2009,91300
712,8520,no,Inside,5,8,1923,1950,PConc,0,624,Y,792,0,1,2,TA,5,0,Unf,1,287,0,81,2009,99500
714,9600,no,Inside,4,4,1910,1950,BrkTil,0,677,Y,1510,0,2,3,Gd,7,0,Unf,2,720,0,160,2009,87500
715,3500,yes,Inside,5,7,1947,1950,CBlock,312,408,Y,1284,1,1,2,TA,5,0,Unf,1,240,0,35,2009,110000
716,8100,no,Corner,5,5,1898,1965,PConc,0,849,N,2138,0,2,2,TA,11,0,Unf,2,360,40,156,2009,106000
717,11700,yes,Corner,7,7,1880,2003,Stone,0,1240,N,2640,1,1,4,Gd,8,1,Unf,4,864,181,386,2009,265979
718,8400,no,Corner,6,7,1900,1950,BrkTil,0,917,Y,2007,0,2,3,Ex,8,0,Unf,1,357,0,235,2009,160000
719,3600,yes,Inside,6,7,1917,2007,BrkTil,0,624,Y,1288,0,2,3,Ex,5,1,Unf,1,280,0,103,2009,119000
720,17671,yes,Corner,8,9,1882,1986,BrkTil,216,700,Y,1742,1,1,4,Gd,8,1,Unf,2,424,0,169,2009,168000
721,3300,no,Inside,4,3,1910,1950,BrkTil,0,624,Y,816,0,1,2,TA,5,1,NA,0,0,0,33,2009,58500
722,9000,no,Inside,7,9,1920,1988,PConc,624,26,Y,1482,1,1,3,TA,7,0,Unf,2,324,0,0,2009,143000
723,7200,no,Inside,5,4,1910,2006,BrkTil,712,310,N,1022,0,2,2,TA,4,0,Unf,1,280,0,256,2009,85000
724,8820,no,Corner,5,6,1890,1996,BrkTil,1088,0,Y,1869,0,1,2,TA,7,0,Unf,2,456,48,244,2009,124900
725,5400,no,Inside,6,6,1920,1950,BrkTil,0,972,Y,1480,0,1,3,TA,6,0,Unf,1,207,0,176,2009,119000
726,9720,yes,Inside,6,7,1910,2002,PConc,0,741,Y,1521,0,1,4,Gd,8,0,Unf,3,640,0,238,2009,146500
727,7879,no,Inside,4,5,1920,1950,CBlock,495,225,N,720,0,1,2,TA,4,0,NA,0,0,0,638,2009,34900
728,9392,no,Corner,3,3,1900,1950,CBlock,0,245,N,797,0,1,2,TA,5,0,NA,0,0,0,130,2009,44000
729,21384,no,Inside,5,6,1923,2004,CBlock,1309,15,Y,1576,1,3,3,Gd,6,1,RFn,2,528,0,312,2009,223500
730,6615,no,Inside,6,6,1923,1950,BrkTil,0,1022,N,1432,0,1,3,Gd,6,1,Unf,1,216,266,61,2009,149000
731,7264,no,Inside,7,7,1925,2007,BrkTil,0,952,N,1548,1,2,3,Ex,5,0,Unf,2,672,74,144,2009,205000
732,4960,no,Inside,5,7,1930,1982,CBlock,0,297,Y,1654,0,2,3,TA,7,1,Unf,1,336,244,60,2009,137000
733,8854,no,Inside,6,6,1916,1950,BrkTil,0,952,N,952,0,1,2,Fa,4,1,Unf,1,192,0,138,2009,121000
734,6000,no,Inside,4,6,1936,1950,BrkTil,672,0,Y,1324,0,1,3,TA,6,0,Unf,1,240,0,0,2009,128000
735,6000,no,Inside,6,9,1937,2000,BrkTil,0,698,Y,1176,0,1,2,TA,4,0,Unf,2,624,210,0,2009,134900
736,6000,no,Corner,5,8,1925,1997,BrkTil,0,884,Y,1348,0,2,3,TA,5,1,Unf,1,216,0,208,2009,117000
737,6000,no,Inside,6,6,1939,1950,CBlock,0,780,Y,1412,0,1,4,TA,6,1,Unf,1,280,45,0,2009,132500
738,6000,no,Corner,5,5,1924,1950,BrkTil,220,248,Y,1142,0,1,3,TA,6,0,Fin,1,320,0,98,2009,93000
739,6000,no,Inside,6,7,1926,2004,PConc,0,884,Y,904,0,1,2,TA,4,0,Unf,1,180,0,105,2009,119000
740,6911,no,FR2,5,5,1924,1950,PConc,405,740,Y,1301,0,1,2,Fa,5,0,Unf,2,440,0,0,2009,100000
741,6120,no,Corner,5,6,1936,1950,BrkTil,0,927,Y,1539,1,1,3,TA,5,0,Unf,2,576,112,0,2009,141500
742,6120,no,Inside,4,7,1935,1995,BrkTil,0,884,Y,1573,0,1,3,Gd,6,0,Unf,1,240,0,174,2009,133000
743,6120,no,Inside,2,3,1936,1950,BrkTil,0,264,N,800,0,1,1,Fa,4,1,NA,0,0,0,0,2009,60000
744,6120,no,Corner,5,7,1931,1993,BrkTil,209,506,Y,875,0,2,2,TA,5,0,Unf,1,180,48,0,2009,105000
745,6120,no,Inside,5,6,1925,1999,BrkTil,0,960,Y,995,0,1,2,TA,5,0,Unf,1,264,0,66,2009,115000
746,6120,no,Inside,5,6,1938,1950,BrkTil,273,679,Y,1582,0,2,3,TA,6,1,Unf,1,250,189,184,2009,150000
747,8635,no,Inside,5,5,1925,1950,BrkTil,134,938,Y,1072,0,2,2,TA,5,0,Unf,5,1184,0,105,2009,126500
748,11888,yes,Inside,6,6,1916,1994,BrkTil,0,844,N,2134,0,2,5,Gd,10,0,Unf,2,441,0,328,2009,214500
749,11414,no,Corner,7,8,1910,1993,BrkTil,0,728,N,2019,0,1,3,Gd,8,0,Unf,2,532,509,135,2009,167500
750,8094,yes,Inside,6,6,1915,1950,PConc,0,1048,Y,1768,0,2,3,TA,8,0,Unf,2,576,0,150,2009,155000
751,2500,yes,Corner,7,8,1915,2005,PConc,299,611,Y,1826,1,2,4,Ex,7,1,Unf,1,164,0,0,2009,155000
752,9928,yes,Inside,7,8,1915,1994,BrkTil,0,672,Y,1944,0,2,3,TA,8,0,Unf,1,216,24,28,2009,179900
753,5520,no,Corner,6,6,1912,1950,CBlock,0,755,Y,2229,0,1,5,TA,8,0,NA,0,0,0,228,2009,104000
755,6876,no,Inside,6,5,1927,1950,CBlock,522,198,Y,1930,0,3,4,TA,8,0,Unf,1,316,0,213,2009,149000
756,6240,yes,Inside,4,5,1925,1950,CBlock,152,628,Y,1208,0,1,2,TA,5,0,Unf,2,539,0,135,2009,103000
757,5775,no,Corner,6,7,1915,2002,BrkTil,0,483,Y,1427,0,1,3,Gd,7,0,Unf,1,379,0,136,2009,123000
759,5160,no,Corner,6,6,1927,1950,BrkTil,0,1204,Y,1666,0,1,3,TA,4,0,Unf,1,384,0,148,2009,135000
760,5160,yes,Inside,4,6,1923,1950,PConc,812,46,Y,892,0,2,1,Gd,5,0,NA,0,0,0,265,2009,70000
762,4280,no,Inside,4,9,1946,2001,CBlock,0,560,Y,704,1,1,2,Fa,4,0,Unf,1,220,0,24,2009,88750
766,10020,no,Inside,1,1,1922,1950,BrkTil,350,333,N,904,1,1,1,Fa,4,0,NA,0,0,0,0,2009,61000
767,6629,no,Inside,6,6,1925,1950,BrkTil,551,121,N,1369,0,3,3,TA,6,0,Unf,1,300,147,0,2009,103600
768,9780,no,Inside,5,3,1934,1950,PConc,0,585,N,1112,0,3,4,TA,6,0,Unf,1,226,0,0,2009,63000
769,12886,no,Inside,5,6,1963,1999,CBlock,444,76,Y,1464,1,2,3,TA,6,1,RFn,2,480,302,100,2009,175000
770,8816,no,Corner,5,6,1963,1963,PConc,651,470,Y,1121,0,2,3,TA,5,0,Unf,2,480,0,80,2009,139000
771,11184,no,Inside,6,5,1978,1978,CBlock,726,192,Y,1683,1,2,3,TA,7,1,RFn,2,440,243,0,2009,172500
772,11625,no,Inside,5,6,1967,1967,CBlock,527,525,Y,1052,1,1,3,TA,6,1,Fin,1,668,0,215,2009,113500
773,7800,no,Inside,5,7,1967,2004,PConc,450,414,Y,899,0,1,3,Gd,5,0,Fin,1,288,64,0,2009,130000
774,8014,no,CulDSac,6,5,1978,1978,CBlock,456,0,Y,1034,1,1,3,TA,5,1,Fin,2,504,0,0,2009,149900
775,7252,no,CulDSac,5,5,1982,1982,CBlock,685,173,Y,858,0,2,2,TA,5,0,Unf,2,576,120,0,2009,134900
776,8740,no,Inside,5,6,1982,1982,CBlock,672,168,Y,860,0,2,2,TA,4,0,Unf,2,528,0,0,2009,137000
777,11616,no,Inside,5,5,1962,1962,CBlock,840,252,Y,1092,1,1,3,TA,6,1,Unf,1,288,0,164,2009,139000
778,15400,no,Inside,5,5,1961,1961,CBlock,0,552,Y,1774,0,2,4,TA,8,1,Unf,1,384,290,40,2009,165000
779,15312,no,Inside,6,5,1960,1960,CBlock,588,550,Y,1138,1,1,3,TA,6,1,RFn,2,480,0,140,2009,148000
780,15584,no,Inside,5,5,1956,1956,CBlock,0,825,Y,2071,2,1,4,TA,9,1,Unf,1,336,131,28,2009,165000
781,9000,no,Corner,2,2,1947,1950,Slab,0,0,N,660,0,1,2,Fa,5,0,NA,0,0,0,100,2009,63900
782,11250,no,Inside,4,5,1957,1989,CBlock,0,1104,Y,1788,0,2,5,TA,8,2,Unf,1,304,120,0,2009,161500
783,25095,no,Inside,5,8,1968,2003,CBlock,1324,113,Y,1473,0,3,1,Ex,5,2,Unf,1,452,0,108,2009,143000
784,17140,no,Inside,4,6,1956,1956,CBlock,1059,75,Y,1229,0,1,3,TA,6,0,RFn,1,284,0,0,2009,135000
785,12342,no,Inside,4,5,1940,1950,CBlock,262,599,Y,861,0,1,1,TA,4,0,Unf,2,539,158,0,2009,82500
786,10708,no,Inside,5,5,1955,1993,CBlock,1147,470,Y,1867,0,2,2,TA,7,3,Fin,1,303,476,142,2009,190000
787,13680,no,CulDSac,3,5,1955,1955,Slab,0,0,Y,1733,0,2,4,TA,8,1,Unf,2,452,0,0,2009,139600
788,15635,no,CulDSac,4,5,1954,1954,CBlock,0,0,Y,1383,0,1,2,TA,6,0,Unf,2,498,0,200,2009,122000
789,9855,no,Corner,6,5,1956,1956,CBlock,0,1436,Y,1689,0,1,3,TA,7,1,Unf,2,480,0,0,2009,127500
790,9571,no,Inside,5,5,1956,1956,CBlock,257,816,Y,1073,0,2,2,TA,5,0,Unf,1,340,0,0,2009,121500
791,9571,no,Inside,5,3,1958,1958,CBlock,0,1276,Y,1276,0,1,3,TA,5,0,Unf,1,350,0,0,2009,60000
792,9350,no,Inside,6,7,1946,1950,CBlock,342,405,Y,1639,1,1,3,Gd,6,1,Unf,1,240,0,50,2009,154400
793,9340,no,Inside,4,6,1941,1950,CBlock,344,328,Y,672,0,2,2,TA,4,0,Unf,1,234,0,113,2009,113000
794,7440,no,Inside,5,6,1954,1954,CBlock,173,916,Y,1089,0,2,3,TA,5,1,RFn,1,252,328,0,2009,125000
795,11500,no,CulDSac,4,3,1957,1957,Slab,0,0,N,845,0,1,3,TA,5,0,Unf,1,290,186,0,2009,84000
797,11409,no,Inside,5,4,1949,2008,CBlock,292,476,Y,1716,1,1,3,TA,8,1,Unf,1,281,0,160,2009,131000
798,9060,no,Inside,6,5,1939,1950,BrkTil,204,356,Y,1258,0,1,2,TA,6,0,Unf,1,280,0,0,2009,105000
799,9084,no,Inside,4,5,1940,1950,CBlock,0,755,Y,1510,0,2,4,TA,7,1,Unf,1,296,120,0,2009,108000
800,10778,no,Inside,7,6,1990,1991,PConc,746,308,Y,1061,1,2,1,Gd,4,0,Unf,2,462,114,36,2009,162000
801,19255,no,Inside,6,5,1983,1983,CBlock,520,0,Y,1338,1,1,2,Gd,5,1,Unf,2,576,0,0,2009,156500
802,12327,no,Inside,8,8,1983,2009,CBlock,1441,55,Y,2132,1,2,1,Gd,5,1,Fin,2,612,349,40,2009,316600
803,14684,no,CulDSac,7,7,1990,1991,CBlock,662,1496,Y,2196,0,2,3,Gd,7,1,RFn,3,701,84,70,2009,271900
804,9317,no,Inside,7,5,1993,1993,PConc,513,227,Y,1775,1,3,3,Gd,7,1,Unf,2,425,234,264,2009,213000
805,10560,no,Corner,7,5,1993,1994,PConc,474,605,Y,1879,1,3,3,Gd,8,1,RFn,2,473,400,244,2009,239900
806,9828,no,Inside,8,5,1995,1995,PConc,584,544,Y,2020,1,2,3,Gd,8,1,RFn,2,466,0,155,2009,239500
807,26400,no,FR2,5,7,1880,2007,PConc,0,0,Y,2016,0,1,4,TA,7,1,Unf,2,576,0,0,2009,131000
819,10933,no,Inside,9,5,2009,2009,PConc,1021,534,Y,1680,1,2,1,Ex,8,1,Fin,3,1138,185,24,2009,323262
820,10637,no,Inside,8,5,2007,2008,PConc,1288,417,Y,1718,0,3,3,Gd,7,1,RFn,3,826,208,44,2009,297000
821,10226,no,Inside,8,5,2008,2008,PConc,0,1622,Y,1630,0,3,3,Ex,8,1,RFn,3,860,172,42,2009,295493
822,10816,no,Inside,9,5,2008,2008,PConc,1104,616,Y,1720,0,3,3,Ex,8,1,RFn,3,846,208,104,2009,332000
823,9178,no,Inside,8,5,2008,2008,PConc,0,1468,Y,1468,0,2,3,Gd,6,1,RFn,3,904,192,142,2009,239900
824,10769,no,Inside,8,5,2007,2007,PConc,20,846,Y,1768,1,2,3,Gd,7,0,RFn,2,578,144,105,2009,212000
825,11422,no,Inside,8,5,2007,2008,PConc,1359,479,Y,1838,0,3,3,Gd,7,2,RFn,2,524,154,222,2009,272500
826,11923,no,Corner,9,5,2007,2007,PConc,0,1800,Y,1800,0,2,2,Ex,7,0,Fin,2,702,288,136,2009,239000
827,8814,no,Inside,7,5,2006,2006,PConc,1334,270,Y,1604,1,3,3,Gd,8,1,RFn,2,660,123,110,2009,220000
828,6762,no,Inside,7,5,2007,2007,PConc,902,380,Y,1290,0,3,2,Gd,6,1,RFn,2,662,168,0,2009,200000
829,10324,no,Corner,8,5,2008,2008,PConc,872,382,Y,1254,0,3,2,Gd,5,0,RFn,3,810,168,92,2009,221800
830,7314,no,Inside,7,5,2007,2007,PConc,724,508,Y,1232,0,3,2,Gd,6,0,RFn,2,632,132,0,2009,194500
831,11645,no,Inside,8,5,2005,2006,PConc,24,1474,Y,1498,0,2,3,Gd,7,1,Fin,3,844,144,98,2009,237000
832,11646,no,Inside,6,5,2005,2006,PConc,0,704,Y,1422,1,2,3,Gd,7,1,Fin,2,440,36,28,2009,173000
833,12800,no,Inside,7,5,1989,1989,PConc,1518,0,Y,1644,1,3,2,Gd,5,1,Fin,2,569,80,396,2009,275000
834,16698,no,CulDSac,7,5,1992,1993,PConc,800,649,Y,1759,1,3,3,Gd,7,1,Unf,2,525,150,193,2009,233500
835,28698,no,CulDSac,5,5,1967,1967,PConc,1013,0,Y,2126,2,2,3,TA,7,0,Fin,2,538,486,225,2009,185000
836,12464,no,Corner,5,5,1996,1996,PConc,732,308,Y,1040,0,2,3,Gd,6,0,Unf,2,576,168,0,2009,152000
837,9757,no,Inside,5,7,1994,1994,PConc,755,235,Y,990,0,2,3,TA,5,0,RFn,1,440,66,92,2009,143000
838,15426,no,Inside,6,5,1997,1997,PConc,821,107,Y,1764,1,3,3,Gd,7,0,RFn,2,470,276,99,2009,231500
839,10667,no,CulDSac,7,6,1996,1996,PConc,729,70,Y,1661,1,3,3,Gd,6,1,RFn,2,550,158,61,2009,212000
840,14753,no,Inside,7,5,1998,1998,PConc,950,513,Y,1463,0,3,3,TA,5,0,Fin,2,539,0,81,2009,207000
841,10859,no,Corner,5,5,1994,1995,PConc,0,1097,Y,1097,1,1,3,TA,6,0,Unf,2,672,392,64,2009,145000
842,8072,no,Inside,5,5,1994,1995,PConc,746,244,Y,990,0,2,3,TA,5,0,Unf,2,480,0,64,2009,138000
843,10400,no,Corner,7,5,1998,1998,PConc,0,866,Y,1779,1,2,3,Gd,6,0,RFn,2,546,198,36,2009,197900
844,10335,no,Inside,7,5,1999,1999,PConc,679,811,Y,1501,0,3,3,Gd,6,0,RFn,2,577,144,29,2009,204000
845,9017,no,Inside,7,5,1999,1999,PConc,560,871,Y,1431,0,3,3,Gd,6,0,Fin,2,666,0,35,2009,192000
846,8750,no,Inside,6,5,1998,1998,PConc,606,322,Y,1772,1,3,3,TA,7,1,RFn,2,492,150,96,2009,200000
847,8935,no,Inside,7,5,2002,2002,PConc,0,831,Y,1660,1,2,3,Gd,7,0,RFn,2,493,144,68,2009,195000
848,9808,no,Inside,7,5,2002,2002,PConc,788,785,Y,1573,0,3,3,Gd,6,0,RFn,2,544,0,72,2009,227000
849,12420,no,Inside,7,5,2001,2001,PConc,666,278,Y,1840,1,3,3,Gd,6,0,RFn,2,622,0,45,2009,230000
850,16285,no,Inside,7,5,2001,2002,PConc,0,1413,Y,1430,0,2,3,Gd,6,0,RFn,2,605,0,33,2009,187100
851,10739,no,Inside,7,5,2002,2001,PConc,1259,172,Y,1444,0,3,3,Gd,6,0,RFn,2,577,144,40,2009,203000
852,11166,no,Inside,7,5,2001,2001,PConc,24,1468,Y,1492,0,2,3,Gd,6,1,RFn,2,608,0,282,2009,201000
853,8430,no,Inside,5,5,1978,1978,CBlock,616,424,Y,1040,0,2,3,TA,5,0,NA,0,0,0,0,2009,124000
854,16269,no,CulDSac,5,5,1978,1978,BrkTil,625,282,Y,907,0,1,3,TA,5,0,Unf,1,343,72,0,2009,140000
855,6950,no,Inside,5,7,1979,1979,CBlock,782,132,Y,914,0,2,2,TA,5,0,Unf,2,444,0,0,2009,134900
856,8800,no,Inside,5,7,1977,2008,CBlock,676,364,Y,1040,0,2,3,Gd,5,0,Unf,2,484,0,288,2009,150500
857,7000,no,CulDSac,5,8,1978,2005,CBlock,646,218,Y,864,0,2,3,TA,6,0,Unf,1,336,0,0,2009,136500
858,9286,no,CulDSac,5,7,1977,1989,CBlock,196,1072,Y,1268,1,1,3,Gd,5,0,Unf,1,252,173,0,2009,143500
859,15523,no,CulDSac,5,6,1972,1972,CBlock,460,404,Y,864,0,2,3,TA,5,1,Unf,1,338,0,0,2009,133500
860,7200,no,Inside,5,5,1972,1972,CBlock,777,117,Y,894,0,1,2,TA,6,0,RFn,2,600,215,0,2009,123000
861,7200,no,Inside,5,8,1972,2003,CBlock,660,108,Y,768,1,1,2,TA,5,0,Fin,1,396,192,0,2009,133900
862,8445,no,Corner,5,7,1972,2007,CBlock,656,112,Y,768,0,2,2,TA,5,0,Unf,2,396,58,0,2009,133000
863,11664,no,Corner,7,5,2002,2002,PConc,1234,335,Y,1611,0,3,3,Gd,6,0,RFn,3,1231,262,93,2009,250000
864,12334,no,Inside,8,5,2003,2003,PConc,0,1068,Y,2184,1,2,4,Gd,8,1,RFn,2,570,192,132,2009,254750
865,11838,no,Inside,8,5,2001,2001,PConc,0,1753,Y,1788,0,2,3,Ex,7,1,RFn,2,522,202,151,2009,236500
866,11885,no,Inside,8,5,2001,2001,PConc,990,309,Y,1872,1,3,3,Ex,7,1,RFn,2,531,160,122,2009,261500
867,11050,no,Inside,9,5,2000,2000,PConc,904,536,Y,2153,1,3,3,Ex,8,2,Fin,3,736,253,142,2009,313000
